"Specie","Freq"
"Chusquea ibiramae",1
"Chusquea juergensii",29
"Chusquea leptophylla",6
"Chusquea meyeriana",12
"Chusquea mimosa",50
"Chusquea nudiramea",6
"Chusquea oligophylla",10
"Chusquea oxylepis",15
"Chusquea pinifolia",1
"Chusquea ramosissima",17
"Chusquea sellowii",5
"Chusquea tenella",20
"Chusquea tenuiglumis",1
"Chusquea urelytra",11
"Chusquea windischii",35
"Cinnamodendron axillare",6
"Cinnamodendron dinisii",43
"Cinnamomum amoenum",74
"Cinnamomum glaziovii",10
"Cinnamomum hatschbachii",1
"Cinnamomum pseudoglaziovii",18
"Cinnamomum riedelianum",2
"Cinnamomum sellowianum",23
"Cinnamomum triplinerve",23
"Cirrhaea dependens",8
"Cirrhaea fuscolutea",1
"Cissampelos andromorpha",4
"Cissampelos ovalifolia",2
"Cissampelos pareira",19
"Cissus paulliniifolia",5
"Cissus stipulata",11
"Cissus striata",12
"Cissus sulcicaulis",37
"Cissus verticillata",41
"Citharexylum montevidense",3
"Citharexylum myrianthum",75
"Citharexylum solanaceum",42
"Citronella engleriana",9
"Citronella gongonha",13
"Citronella paniculata",46
"Cladium jamaicense",10
"Cladium mariscus",2
"Clasmatocolea vermicularis",1
"Cleistes libonii",38
"Cleistes macrantha",1
"Cleistes revoluta",1
"Clematis affinis",17
"Clematis bonariensis",5
"Clematis brasiliana",9
"Clematis campestris",15
"Clematis dioica",24
"Clematis montevidensis",1
"Clematis ulbrichiana",2
"Cleome rosea",5
"Clethra scabra",209
"Clethra uleana",26
"Clidemia blepharodes",1
"Clidemia capitellata",1
"Clidemia hirta",54
"Clidemia urceolata",8
"Cliococca selaginoides",2
"Clitoria fairchildiana",6
"Clitoria falcata",2
"Clusia criuva",214
"Coccocypselum capitatum",26
"Coccocypselum condalia",37
"Coccocypselum cordifolium",28
"Coccocypselum geophiloides",122
"Coccocypselum glabrifolium",4
"Coccocypselum hasslerianum",50
"Coccocypselum lanceolatum",210
"Coccocypselum lyman-smithii",4
"Coccocypselum lymansmithii",14
"Coccocypselum pulchellum",51
"Coccoloba arborescens",8
"Coccoloba cordata",11
"Coccoloba persicaria",1
"Coccoloba warmingii",14
"Cochliasanthus caracalla",1
"Cochlidium punctatum",36
"Cochlidium serrulatum",27
"Codonanthe cordifolia",18
"Codonanthe devosiana",143
"Codonanthe gracilis",32
"Colanthelia cingulata",2
"Colanthelia intermedia",12
"Colanthelia lanciflora",1
"Collaea speciosa",26
"Collaea stenophylla",13
"Colletia exserta",9
"Colletia paradoxa",43
"Colliguaja brasiliensis",7
"Colobodontium vulpinum",2
"Cololejeunea cardiocarpa",2
"Colubrina glandulosa",16
"Colura tenuicornis",4
"Combretum fruticosum",32
"Commelina catharinensis",6
"Commelina erecta",25
"Commelina obliqua",30
"Condalia buxifolia",4
"Condea fastigiata",16
"Condea undulata",5
"Condylostylis candida",5
"Connarus rostratus",24
"Convolvulus bonariensis",1
"Convolvulus crenatifolius",6
"Convolvulus hasslerianus",4
"Conyza blakei",2
"Conyza bonariensis",98
"Conyza canadensis",2
"Conyza catharinensis",3
"Conyza macrophylla",7
"Conyza primulifolia",28
"Conyza retirensis",2
"Conyza sumatrensis",6
"Copaifera trapezifolia",19
"Corchorus argutus",1
"Cordia americana",37
"Cordia ecalyculata",66
"Cordia sellowiana",10
"Cordia silvestris",23
"Cordia trichotoma",57
"Cordiera concolor",130
"Cordyline spectabilis",23
"Coronopus didymus",21
"Cortaderia selloana",18
"Cortaderia vaginata",15
"Corymborkis flava",66
"Costus arabicus",4
"Costus scaber",1
"Costus spiralis",9
"Coussapoa microcarpa",104
"Coussarea contracta",90
"Coutarea hexandra",29
"Cranichis candida",13
"Crassula peduncularis",8
"Crepidomanes pyxidiferum",21
"Crinodendron brasiliense",15
"Crinum americanum",3
"Critoniopsis quinqueflora",166
"Crossomitrium patrisiae",5
"Crotalaria balansae",1
"Crotalaria hilariana",13
"Crotalaria incana",5
"Crotalaria micans",7
"Crotalaria tweediana",1
"Crotalaria vitellina",11
"Croton aberrans",5
"Croton ackermannianus",15
"Croton allemii",7
"Croton antisyphiliticus",3
"Croton calonervosus",3
"Croton calycireduplicatus",9
"Croton ceanothifolius",14
"Croton celtidifolius",66
"Croton chaetophorus",7
"Croton confinis",4
"Croton didrichsenii",4
"Croton dusenii",11
"Croton erythroxyloides",10
"Croton garckeanus",2
"Croton glandulosus",17
"Croton glechomifolius",12
"Croton heterodoxus",3
"Croton hirtus",1
"Croton ichthygaster",4
"Croton lanatus",4
"Croton linearifolius",4
"Croton lundianus",5
"Croton macrobothrys",10
"Croton myrianthus",19
"Croton pallidulus",21
"Croton patrum",1
"Croton reitzii",23
"Croton serpyllifolius",2
"Croton serratifolius",2
"Croton splendidus",25
"Croton stenotrichus",7
"Croton triqueter",25
"Croton urucurana",3
"Croton uruguayensis",11
"Cryptocarya aschersoniana",49
"Cryptocarya mandioccana",11
"Ctenanthe casupoides",1
"Ctenanthe compressa",2
"Ctenanthe lanceolata",1
"Ctenanthe muelleri",17
"Ctenanthe oppenheimiana",2
"Ctenanthe setosa",2
"Ctenidium malacodes",2
"Ctenitis anniesii",79
"Ctenitis distans",4
"Ctenitis falciculata",71
"Ctenitis fenestralis",1
"Ctenitis laetevirens",29
"Ctenitis paranaensis",2
"Ctenitis pedicellata",76
"Ctenitis submarginalis",138
"Cunila angustifolia",8
"Cunila galioides",26
"Cunila microcephala",8
"Cunila platyphylla",2
"Cunila spicata",9
"Cupania oblongifolia",30
"Cupania vernalis",232
"Cuphea acinifolia",2
"Cuphea aperta",1
"Cuphea calophylla",53
"Cuphea carthagenensis",80
"Cuphea fruticosa",1
"Cuphea glutinosa",39
"Cuphea hirsutissima",1
"Cuphea linarioides",2
"Cuphea lindmaniana",18
"Cuphea origanifolia",3
"Cuphea racemosa",33
"Cuphea tuberosa",1
"Cuphea urbaniana",24
"Cuphea varia",4
"Curitiba prismatica",1
"Curtia conferta",1
"Curtia tenuifolia",1
"Cuscuta platyloba",5
"Cuscuta racemosa",6
"Cuscuta xanthochortos",2
"Cuspidaria convoluta",23
"Cyanaeorchis arundinae",2
"Cyathea atrovirens",135
"Cyathea corcovadensis",156
"Cyathea delgadii",162
"Cyathea feeana",29
"Cyathea gardneri",15
"Cyathea hirsuta",22
"Cyathea phalerata",388
"Cyathea uleana",3
"Cybianthus brasiliensis",58
"Cybianthus peruvianus",67
"Cybistax antisyphilitica",22
"Cyclanthera hystrix",2
"Cyclanthera tenuifolia",24
"Cyclanthera tenuisepala",1
"Cyclodictyon varians",5
"Cyclopogon apricus",12
"Cyclopogon congestus",4
"Cyclopogon longibracteatus",2
"Cyclopogon truncatus",2
"Cyclopogon variegatus",5
"Cyclosorus interruptus",11
"Cyclospermum leptophyllum",69
"Cynodon maritimus",4
"Cynophalla flexuosa",5
"Cypella aquatilis",1
"Cypella herbertii",10
"Cypella laxa",3
"Cyperus aggregatus",34
"Cyperus andreanus",13
"Cyperus barrosianus",1
"Cyperus brasiliensis",9
"Cyperus burkartii",4
"Cyperus cellulosoreticulatus",8
"Cyperus chalaranthus",5
"Cyperus corymbosus",1
"Cyperus distans",50
"Cyperus entrerianus",34
"Cyperus eragrostis",4
"Cyperus flavescens",7
"Cyperus fraternus",9
"Cyperus friburgensis",4
"Cyperus giganteus",1
"Cyperus haspan",30
"Cyperus hermaphroditus",94
"Cyperus incomtus",43
"Cyperus inops",1
"Cyperus intricatus",22
"Cyperus lanceolatus",20
"Cyperus laxus",19
"Cyperus ligularis",15
"Cyperus luzulae",4
"Cyperus megapotamicus",6
"Cyperus meyenianus",6
"Cyperus mundulus",7
"Cyperus niger",15
"Cyperus obtusatus",6
"Cyperus odoratus",26
"Cyperus pohlii",17
"Cyperus polystachyos",24
"Cyperus prolixus",39
"Cyperus reflexus",28
"Cyperus rigens",28
"Cyperus sellowianus",2
"Cyperus sesquiflorus",25
"Cyperus sphacelatus",8
"Cyperus surinamensis",20
"Cyperus tenuis",3
"Cyperus unioloides",6
"Cyperus virens",36
"Cyperus xanthostachyus",1
"Cyrtocymura scorpioides",140
"Cyrtopodium flavum",17
"Cyrtopodium palmifrons",2
"Cystopteris diaphana",3
"Dahlstedtia muehlbergiana",5
"Dahlstedtia pentaphylla",58
"Dahlstedtia pinnata",75
"Dalbergia brasiliensis",42
"Dalbergia ecastaphyllum",27
"Dalbergia ernest-ulei",2
"Dalbergia frutescens",230
"Dalbergia lateriflora",3
"Dalechampia clausseniana",5
"Dalechampia ficifolia",12
"Dalechampia glechomifolia",4
"Dalechampia micromeria",31
"Dalechampia riparia",2
"Dalechampia stipulacea",6
"Danaea elliptica",2
"Danaea geniculata",42
"Danaea moritziana",69
"Danaea nodosa",2
"Danthonia cirrata",7
"Danthonia montevidensis",6
"Danthonia secundiflora",38
"Daphnopsis coriacea",1
"Daphnopsis fasciculata",59
"Daphnopsis pseudosalix",23
"Daphnopsis racemosa",38
"Dasyphyllum brasiliense",57
"Dasyphyllum spinescens",44
"Dasyphyllum tomentosum",30
"Daucus pusillus",10
"Davilla rugosa",99
"Declieuxia dusenii",11
"Dendroceros crispus",3
"Dendropanax australis",79
"Dendropanax cuneatus",4
"Dendrophorbium catharinense",2
"Dendrophorbium limosum",2
"Dendrophorbium paranense",1
"Dendrophorbium subnemoralis",1
"Dennstaedtia cicutaria",43
"Dennstaedtia dissecta",15
"Dennstaedtia globulifera",34
"Dennstaedtia obtusifolia",13
"Deppea blumenaviensis",45
"Desmanthus tatuhyensis",3
"Desmanthus virgatus",1
"Desmodium affine",33
"Desmodium barbatum",19
"Desmodium cuneatum",4
"Desmodium leiocarpum",4
"Desmodium polygaloides",2
"Desmodium subsecundum",3
"Desmodium subsericeum",4
"Desmodium tortuosum",21
"Desmodium triarticulatum",8
"Desmodium uncinatum",40
"Deyeuxia viridiflavescens",1
"Diatenopteryx sorbifolia",30
"Dicella nucifera",4
"Dichaea australis",9
"Dichaea cogniauxiana",94
"Dichaea pendula",112
"Dichaea trulla",4
"Dichanthelium sabulorum",24
"Dichanthelium sciurotis",2
"Dichanthelium sciurotoides",2
"Dichanthelium stigmosum",6
"Dichanthelium superatum",13
"Dichanthelium surrectum",2
"Dichondra macrocalyx",12
"Dichondra sericea",8
"Dichorisandra hexandra",82
"Dichorisandra pubescens",5
"Dichorisandra thyrsiflora",30
"Dicksonia sellowiana",82
"Dicliptera squarrosa",5
"Dicranella hilariana",4
"Dicranopteris flexuosa",16
"Dicranopteris nervosa",55
"Dictyostega orobanchoides",2
"Didymochlaena truncatula",195
"Didymoglossum hymenoides",9
"Didymoglossum krausii",5
"Didymoglossum reptans",1
"Digitaria aequiglumis",3
"Digitaria phaeothrix",2
"Digitaria purpurea",2
"Dimerostemma arnottii",1
"Dioclea violacea",16
"Diodia saponariifolia",23
"Dioscorea altissima",1
"Dioscorea bulbotricha",7
"Dioscorea campestris",2
"Dioscorea ceratandra",4
"Dioscorea coronata",1
"Dioscorea demourae",2
"Dioscorea dodecaneura",1
"Dioscorea furcata",1
"Dioscorea glandulosa",4
"Dioscorea laxiflora",5
"Dioscorea monadelpha",4
"Dioscorea multiflora",10
"Dioscorea olfersiana",1
"Dioscorea ovata",6
"Dioscorea piperifolia",3
"Dioscorea rumicoides",1
"Dioscorea scabra",5
"Dioscorea sinuata",6
"Dioscorea subhastata",2
"Dioscorea trisecta",2
"Dioscorea tubuliflora",2
"Diospyros inconstans",35
"Diphasiastrum thyoides",32
"Diplazium ambiguum",35
"Diplazium asplenioides",1
"Diplazium cristatum",231
"Diplazium herbaceum",17
"Diplazium leptocarpon",18
"Diplazium lindbergii",14
"Diplazium plantaginifolium",134
"Diplazium riedelianum",22
"Diplazium rostratum",15
"Diplazium striatum",4
"Diplazium turgidum",14
"Discaria americana",8
"Disciphania contraversa",15
"Disynaphia ligulifolia",2
"Disynaphia littoralis",5
"Disynaphia multicrenulata",6
"Disynaphia spathulata",1
"Ditassa burchellii",26
"Ditassa megapotamica",2
"Dodonaea viscosa",92
"Dolichandra dentata",3
"Dolichandra hispida",3
"Dolichandra quadrivalvis",12
"Dolichandra uncata",2
"Dolichandra unguis-cati",36
"Doliocarpus schottianus",14
"Dorstenia brasiliensis",4
"Dorstenia carautae",78
"Dorstenia tenuis",13
"Doryopteris acutiloba",1
"Doryopteris arifolia",1
"Doryopteris collina",81
"Doryopteris concolor",103
"Doryopteris crenulans",9
"Doryopteris lomariacea",5
"Doryopteris lorentzii",29
"Doryopteris nobilis",13
"Doryopteris patula",26
"Doryopteris pentagona",42
"Doryopteris rivalis",2
"Doryopteris sagittifolia",13
"Doryopteris triphylla",12
"Doryopteris varians",4
"Drimys angustifolia",96
"Drimys brasiliensis",213
"Drosera brevifolia",18
"Drosera capillaris",7
"Drosera communis",9
"Drosera latifolia",4
"Drosera montana",6
"Drosera viridis",3
"Dryadella aviceps",2
"Dryadella edwallii",23
"Dryadella lilliputiana",3
"Dryadella zebrina",26
"Dryopteris wallichiana",14
"Duguetia lanceolata",58
"Dumortiera hirsuta",30
"Duranta vestita",20
"Dyckia brevifolia",7
"Dyckia distachya",9
"Dyckia encholirioides",11
"Dyckia ibiramensis",5
"Dyckia monticola",7
"Dyckia reitzii",1
"Dyckia tuberosa",3
"Dyschoriste smithii",1
"Dyssochroma longipes",32
"Echinochloa polystachya",7
"Echinodorus floribundus",1
"Echinodorus grandiflorus",28
"Echinodorus paniculatus",1
"Echinodorus uruguayensis",8
"Echinolaena minarum",2
"Echinopepon racemosus",5
"Eclipta elliptica",3
"Eclipta prostrata",29
"Ectropothecium leptochaeton",4
"Edmundoa lindenii",78
"Egeria densa",5
"Eichhornia azurea",4
"Eichhornia crassipes",23
"Eithea blumenavia",4
"Elaphoglossum beaurepairei",2
"Elaphoglossum burchellii",17
"Elaphoglossum edwallii",8
"Elaphoglossum gayanum",9
"Elaphoglossum glaziovii",154
"Elaphoglossum hybridum",1
"Elaphoglossum iguapense",2
"Elaphoglossum lagesianum",4
"Elaphoglossum lingua",68
"Elaphoglossum luridum",77
"Elaphoglossum macahense",3
"Elaphoglossum macrophyllum",5
"Elaphoglossum montanum",6
"Elaphoglossum nigrescens",5
"Elaphoglossum ornatum",2
"Elaphoglossum paulistanum",5
"Elaphoglossum sellowianum",8
"Elaphoglossum strictum",5
"Elaphoglossum subarborescens",1
"Elaphoglossum ulei",5
"Elaphoglossum vagans",67
"Elatine lindbergii",5
"Eleocharis acutangula",1
"Eleocharis barrosii",1
"Eleocharis bicolor",2
"Eleocharis bonariensis",10
"Eleocharis capillacea",1
"Eleocharis contracta",7
"Eleocharis debilis",13
"Eleocharis elongata",12
"Eleocharis filiculmis",4
"Eleocharis flavescens",16
"Eleocharis geniculata",16
"Eleocharis interstincta",25
"Eleocharis kleinii",6
"Eleocharis laeviglumis",10
"Eleocharis loefgreniana",1
"Eleocharis maculosa",37
"Eleocharis minima",12
"Eleocharis montana",83
"Eleocharis mutata",10
"Eleocharis nana",11
"Eleocharis niederleinii",6
"Eleocharis nudipes",12
"Eleocharis obtusetrigona",4
"Eleocharis pauciglumis",5
"Eleocharis rabenii",6
"Eleocharis radicans",4
"Eleocharis ramboana",2
"Eleocharis sellowiana",15
"Eleocharis squamigera",19
"Eleocharis subarticulata",26
"Eleocharis viridans",17
"Elephantopus mollis",162
"Eleusine tristachya",13
"Elionurus muticus",9
"Elleanthus brasiliensis",30
"Eltroplectris calcarata",2
"Emmeorhiza umbellata",15
"Encyclia almasii",2
"Encyclia oncidioides",1
"Encyclia patens",13
"Endlicheria paniculata",255
"Enterolobium contortisiliquum",31
"Entosthodon bonplandii",1
"Enydra sessilis",4
"Ephemerum uleanum",5
"Epidendrum armeniacum",22
"Epidendrum avicula",21
"Epidendrum caldense",1
"Epidendrum campaccii",8
"Epidendrum cristatum",5
"Epidendrum densiflorum",28
"Epidendrum denticulatum",6
"Epidendrum fulgens",64
"Epidendrum geniculatum",5
"Epidendrum henschenii",3
"Epidendrum latilabre",73
"Epidendrum latilabrum",3
"Epidendrum nocturnum",2
"Epidendrum paranaense",28
"Epidendrum proligerum",29
"Epidendrum pseudodifforme",32
"Epidendrum ramosum",37
"Epidendrum rigidum",27
"Epidendrum secundum",102
"Epidendrum strobiliferum",24
"Epidendrum tridactylum",28
"Epidendrum vesicatum",33
"Epilobium hirtigerum",6
"Equisetum giganteum",14
"Eragrostis airoides",28
"Eragrostis bahiensis",28
"Eragrostis cataclasta",16
"Eragrostis hypnoides",1
"Eragrostis lugens",5
"Eragrostis macrothyrsa",1
"Eragrostis neesii",16
"Eragrostis polytricha",14
"Eragrostis purpurascens",2
"Eragrostis trichocolea",4
"Erechtites valerianifolius",44
"Erianthus trinii",3
"Eriocaulon gomphrenoides",15
"Eriocaulon leptophyllum",1
"Eriocaulon ligulatum",6
"Eriocaulon magnificum",4
"Eriocaulon modestum",7
"Eriocaulon reitzii",1
"Eriocaulon sellowianum",8
"Eriochrysis cayennensis",20
"Eriochrysis holcoides",37
"Eriochrysis laxa",1
"Eriochrysis villosa",9
"Eriosema campestre",25
"Eriosema crinitum",3
"Eriosema heterophyllum",4
"Eriosema longifolium",8
"Eriosema rufum",6
"Eriosema tacuaremboense",34
"Erpodium glaziovii",19
"Eryngium aloifolium",1
"Eryngium canaliculatum",1
"Eryngium chamissonis",1
"Eryngium dusenii",3
"Eryngium ebracteatum",21
"Eryngium eburneum",10
"Eryngium echinatum",1
"Eryngium ekmanii",5
"Eryngium elegans",12
"Eryngium eriophorum",14
"Eryngium floribundum",12
"Eryngium horridum",7
"Eryngium junceum",6
"Eryngium juncifolium",1
"Eryngium megapotamicum",2
"Eryngium nudicaule",2
"Eryngium pandanifolium",6
"Eryngium pohlianum",3
"Eryngium raulinii",3
"Eryngium regnellii",2
"Eryngium sanguisorba",15
"Eryngium scirpinum",9
"Eryngium serra",1
"Eryngium smithii",16
"Eryngium subinerme",12
"Eryngium urbanianum",13
"Eryngium zosterifolium",7
"Erythrina crista-galli",15
"Erythrina falcata",32
"Erythrina speciosa",7
"Erythrodontium squarrosum",2
"Erythroxylum ambiguum",9
"Erythroxylum argentinum",27
"Erythroxylum catharinense",1
"Erythroxylum cuneifolium",20
"Erythroxylum cuspidifolium",14
"Erythroxylum deciduum",76
"Erythroxylum gonoclados",10
"Erythroxylum microphyllum",9
"Erythroxylum myrsinites",15
"Erythroxylum vaccinifolium",33
"Erythroxylum vacciniifolium",16
"Escallonia bifida",82
"Escallonia farinacea",8
"Escallonia laevis",5
"Escallonia ledifolia",13
"Escallonia megapotamica",12
"Escallonia obtusissima",2
"Escallonia petrophila",14
"Escobedia grandiflora",5
"Esenbeckia densiflora",8
"Esenbeckia grandiflora",283
"Esenbeckia hieronymi",21
"Esterhazya splendida",15
"Eubrachion ambiguum",12
"Eugenia astringens",13
"Eugenia bacopari",20
"Eugenia beaurepairiana",9
"Eugenia brasiliensis",22
"Eugenia brevistyla",36
"Eugenia burkartiana",25
"Eugenia catharinae",35
"Eugenia catharinensis",50
"Eugenia cerasiflora",12
"Eugenia cereja",18
"Eugenia chlorophylla",11
"Eugenia convexinervia",13
"Eugenia excelsa",7
"Eugenia florida",4
"Eugenia gracillima",3
"Eugenia handroana",52
"Eugenia handroi",18
"Eugenia hiemalis",44
"Eugenia hyemalis",1
"Eugenia imaruiensis",2
"Eugenia involucrata",46
"Eugenia itacolumensis",1
"Eugenia joenssonii",5
"Eugenia kleinii",123
"Eugenia ligustrina",1
"Eugenia longipedunculata",4
"Eugenia malacantha",5
"Eugenia mattosii",9
"Eugenia melanogyna",26
"Eugenia mosenii",9
"Eugenia multicostata",17
"Eugenia neoglomerata",3
"Eugenia neomyrtifolia",9
"Eugenia neotristis",4
"Eugenia neoverrucosa",28
"Eugenia nutans",10
"Eugenia oeidocarpa",1
"Eugenia pachyclada",4
"Eugenia paracatuana",2
"Eugenia pitanga",3
"Eugenia platysema",14
"Eugenia pluriflora",40
"Eugenia prasina",7
"Eugenia pruinosa",10
"Eugenia pyriformis",49
"Eugenia ramboi",24
"Eugenia repanda",1
"Eugenia rostrifolia",7
"Eugenia rotundicosta",4
"Eugenia sclerocalyx",7
"Eugenia speciosa",34
"Eugenia stigmatosa",80
"Eugenia subavenia",11
"Eugenia subterminalis",5
"Eugenia sulcata",5
"Eugenia supraaxillaris",2
"Eugenia uniflora",81
"Eugenia uruguayensis",24
"Eugenia verticillata",55
"Eupatorium intermedium",4
"Eupatorium lymansmithii",2
"Euphorbia elodes",4
"Euphorbia heterophylla",25
"Euphorbia hirta",24
"Euphorbia hirtella",3
"Euphorbia hyssopifolia",22
"Euphorbia insulana",3
"Euphorbia papillosa",7
"Euphorbia paranensis",4
"Euphorbia peperomioides",12
"Euphorbia prostrata",12
"Euphorbia sciadophila",5
"Euphorbia serpens",3
"Euphorbia stenophylla",5
"Euphorbia thymifolia",5
"Euplassa cantareirae",3
"Euplassa nebularis",7
"Euploca procumbens",1
"Eupodium kaulfussii",50
"Eurystyles cotyledon",36
"Eurystyles lorenzii",9
"Eustachys distichophylla",14
"Eustachys petraea",9
"Eustachys retusa",11
"Eustachys uliginosa",2
"Eustichia longirostris",1
"Euterpe edulis",21
"Evolvulus glomeratus",5
"Evolvulus pusillus",3
"Evolvulus sericeus",2
"Exostigma rivulare",6
"Fabronia macroblepharis",1
"Facelis retusa",13
"Faramea montevidensis",114
"Faramea multiflora",18
"Faramea oligantha",31
"Festuca fimbriata",7
"Festuca ulochaeta",20
"Ficus adhatodifolia",42
"Ficus cestrifolia",55
"Ficus citrifolia",7
"Ficus clusiifolia",3
"Ficus enormis",23
"Ficus eximia",7
"Ficus gomelleira",11
"Ficus guaranitica",6
"Ficus luschnathiana",202
"Ficus organensis",14
"Ficus pertusa",22
"Ficus trigona",1
"Fimbristylis autumnalis",9
"Fimbristylis complanata",29
"Fimbristylis cymosa",8
"Fimbristylis spadicea",1
"Fischeria stellata",8
"Fissidens acacioides",2
"Fissidens amoenus",1
"Fissidens asplenioides",13
"Fissidens brevipes",2
"Fissidens crispus",7
"Fissidens curvatus",2
"Fissidens elegans",3
"Fissidens flabellatus",2
"Fissidens hornschuchii",3
"Fissidens lagenarius",4
"Fissidens oediloma",5
"Fissidens pellucidus",7
"Fissidens rigidulus",2
"Fissidens scalaris",3
"Fissidens scariosus",10
"Fissidens semicompletus",1
"Fissidens serratus",3
"Fissidens submarginatus",1
"Fissidens subradicans",1
"Fissidens taylorii",1
"Fissidens wallisii",3
"Fissidens weirii",4
"Fissidens zollingeri",8
"Floribundaria flaccida",4
"Floscopa glabrata",1
"Forsteronia leptocarpa",19
"Forsteronia refracta",13
"Forsteronia rufa",12
"Forsteronia thyrsoidea",8
"Fridericia chica",38
"Fridericia dichotoma",3
"Fridericia leucopogon",16
"Fridericia samydoides",2
"Fridericia speciosa",2
"Frullania atrata",1
"Frullania brasiliensis",7
"Frullania caulisequa",2
"Frullania ericoides",4
"Frullania riojaneirensis",1
"Frullania setigera",1
"Fuchsia regia",235
"Fuirena robusta",13
"Fuirena umbellata",5
"Galactia boavista",1
"Galactia gracillima",3
"Galactia marginalis",2
"Galactia neesii",5
"Galactia pretiosa",1
"Galeandra beyrichii",16
"Galianthe brasiliensis",54
"Galianthe centranthoides",1
"Galianthe cymosa",6
"Galianthe fastigiata",4
"Galianthe gertii",10
"Galianthe hispidula",6
"Galianthe latistipula",1
"Galianthe laxa",10
"Galianthe reitzii",1
"Galianthe valerianoides",5
"Galianthe verbenoides",4
"Galium atherodes",3
"Galium bigeminum",1
"Galium equisetoides",8
"Galium hirtum",1
"Galium humile",7
"Galium hypocarpium",137
"Galium latoramosum",7
"Galium megapotamicum",10
"Galium nigroramosum",18
"Galium noxium",4
"Galium richardianum",4
"Galium sellowianum",6
"Galium smithreitzii",2
"Galium vile",1
"Galphimia australis",1
"Gamochaeta americana",25
"Gamochaeta calviceps",3
"Gamochaeta coarctata",26
"Gamochaeta falcata",2
"Gamochaeta hiemalis",1
"Gamochaeta pensylvanica",7
"Gamochaeta platensis",1
"Gamochaeta purpurea",5
"Gamochaeta simplicicaulis",35
"Gamochaeta stachydifolia",2
"Garcinia gardneriana",89
"Gaultheria corvensis",14
"Gaultheria erecta",1
"Gaultheria itatiaiae",3
"Gaultheria serrata",16
"Gaultheria ulei",2
"Gaylussacia angustifolia",5
"Gaylussacia brasiliensis",75
"Gaylussacia pseudogaultheria",17
"Gelasine coerulea",2
"Genlisea aurea",2
"Geonoma elegans",44
"Geonoma gamiova",103
"Geonoma pohliana",17
"Geonoma schottiana",145
"Geophila repens",4
"Geranium albicans",1
"Geranium arachnoideum",11
"Geranium glanduligerum",1
"Geum involucratum",1
"Gibasis geniculata",20
"Glandularia aristigera",3
"Glandularia catharinae",14
"Glandularia corymbosa",3
"Glandularia jordanensis",14
"Glandularia kuntzeana",1
"Glandularia lobata",15
"Glandularia marrubioides",2
"Glandularia megapotamica",2
"Glandularia peruviana",13
"Glandularia phlogiflora",15
"Glandularia tenera",2
"Glandularia thymoides",1
"Glechon discolor",26
"Glechon marifolia",5
"Gleichenella pectinata",58
"Glyceria multiflora",18
"Gochnatia polymorpha",18
"Goeppertia eichleri",1
"Goeppertia monophylla",35
"Gomesa albinoi",6
"Gomesa barbaceniae",4
"Gomesa bifolia",3
"Gomesa ciliata",3
"Gomesa concolor",1
"Gomesa cornigera",9
"Gomesa crispa",36
"Gomesa flexuosa",10
"Gomesa glaziovii",5
"Gomesa gomezoides",7
"Gomesa imperatoris-maximiliani",1
"Gomesa longicornu",2
"Gomesa longipes",1
"Gomesa microphyta",8
"Gomesa planifolia",3
"Gomesa praetexta",9
"Gomesa radicans",7
"Gomesa ranifera",9
"Gomesa recurva",68
"Gomesa riograndensis",25
"Gomesa uniflora",11
"Gomesa venusta",2
"Gomidesia fenzliana",4
"Gomidesia palustris",5
"Gomidesia schaueriana",6
"Gomidesia sellowiana",9
"Gomidesia spectabilis",6
"Gomidesia tijucensis",4
"Gomphrena celosioides",7
"Gomphrena elegans",10
"Gomphrena graminea",1
"Gomphrena perennis",13
"Gomphrena vaga",15
"Gongora bufonia",5
"Goniopteris iguapensis",6
"Goniopteris scabra",11
"Goniopteris vivipara",29
"Gonolobus parviflorus",17
"Gonolobus rostratus",3
"Gordonia fruticosa",54
"Gouania ulmifolia",19
"Govenia utriculata",42
"Grandiphyllum auricula",1
"Grandiphyllum divaricatum",19
"Grandiphyllum hians",8
"Graphistylis argyrotricha",2
"Graphistylis oreophila",1
"Graphistylis organensis",3
"Gratiola peruviana",19
"Grazielia gaudichaudeana",15
"Grazielia intermedia",37
"Grazielia multifida",4
"Grazielia schultzii",1
"Grazielia serrata",72
"Griselinia ruscifolia",81
"Grobya amherstiae",4
"Grobya fascifera",3
"Groutiella apiculata",1
"Guadua chacoensis",4
"Guadua paniculata",8
"Guadua tagoara",20
"Guadua trinii",7
"Guapira hirsuta",16
"Guapira opposita",268
"Guarea macrophylla",270
"Guatteria australis",268
"Guettarda uruguensis",17
"Gunnera manicata",32
"Gymnanthes klotzschiana",46
"Gymnanthes schottiana",8
"Gymnopogon burchellii",13
"Gymnopogon grandiflorus",2
"Gymnopogon legrandii",1
"Gynerium sagittatum",3
"Habenaria araneiflora",3
"Habenaria gourlieana",4
"Habenaria inconspicua",2
"Habenaria johannensis",2
"Habenaria josephensis",4
"Habenaria macronectar",5
"Habenaria montevidensis",7
"Habenaria paranaensis",6
"Habenaria parviflora",36
"Habenaria pleiophylla",6
"Habenaria regnellii",2
"Habenaria repens",6
"Habenaria secunda",2
"Habenaria subviridis",1
"Habenaria umbraticola",2
"Habranthus robustus",2
"Halodule wrightii",2
"Hamelia patens",5
"Handroanthus albus",23
"Handroanthus catarinensis",2
"Handroanthus chrysotrichus",15
"Handroanthus heptaphyllus",14
