"Specie","Freq"
"Anathallis linearifolia",14
"Anathallis malmeana",3
"Anathallis microphyta",5
"Anathallis obovata",9
"Anathallis pabstii",1
"Anathallis paranaensis",1
"Anathallis rubens",37
"Anathallis sclerophylla",26
"Anchietea exalata",7
"Anchietea pyrifolia",59
"Andira anthelmia",6
"Andira fraxinifolia",65
"Andropogon arenarius",7
"Andropogon bicornis",46
"Andropogon lateralis",41
"Andropogon leucostachyus",36
"Andropogon lindmanii",1
"Andropogon macrothrix",38
"Andropogon selloanus",14
"Andropogon virgatus",13
"Androtrichum trigynum",36
"Anemia phyllitidis",450
"Anemia raddiana",67
"Anemia tomentosa",51
"Anemia warmingii",2
"Anemone decapetala",8
"Anemone sellowii",4
"Anemopaegma chamberlaynii",4
"Anemopaegma nebulosum",2
"Anemopaegma prostratum",7
"Anetium citrifolium",3
"Aneura pinguis",2
"Angelonia integerrima",6
"Aniba firmula",76
"Annona cacans",19
"Annona emarginata",136
"Annona glabra",18
"Annona maritima",4
"Annona neosalicifolia",6
"Annona neosericea",123
"Annona rugulosa",13
"Annona sylvatica",89
"Anogramma chaerophylla",1
"Anoplolejeunea conferta",3
"Anredera cordifolia",44
"Anredera tucumanensis",5
"Anthoceros punctatus",2
"Anthurium acutum",51
"Anthurium gaudichaudianum",303
"Anthurium hatschbachii",1
"Anthurium lacerdae",2
"Anthurium loefgrenii",18
"Anthurium pentaphyllum",152
"Anthurium scandens",210
"Anthurium sellowianum",40
"Anthurium urvilleanum",29
"Aparisthmium cordatum",23
"Aphelandra chamissoniana",94
"Aphelandra liboniana",49
"Aphelandra ornata",4
"Apinagia riedelii",1
"Apoclada simplex",11
"Apodanthera laciniosa",7
"Apodanthera ulei",7
"Apteria aphylla",3
"Apuleia leiocarpa",9
"Arachis repens",4
"Aralia warmingiana",2
"Araucaria angustifolia",45
"Araujia sericifera",13
"Archidium hallii",1
"Ardisia catharinensis",2
"Ardisia guianensis",52
"Aristida brasiliensis",1
"Aristida circinalis",6
"Aristida filifolia",1
"Aristida flaccida",12
"Aristida jubata",26
"Aristida laevis",1
"Aristida macrophylla",1
"Aristida megapotamica",14
"Aristida pallens",3
"Aristida spegazzinii",1
"Aristolochia fimbriata",2
"Aristolochia labiata",2
"Aristolochia robertii",2
"Aristolochia triangularis",20
"Aristolochia trilobata",4
"Arthrosia auriculata",1
"Arthrosia hygrophila",3
"Arundinella hispida",1
"Asclepias mellodora",14
"Ascolepis brasiliensis",7
"Asemeia extraaxillaris",1
"Aspasia lunata",11
"Aspicarpa pulchella",1
"Aspidogyne argentea",4
"Aspidogyne bicolor",1
"Aspidogyne bidentifera",5
"Aspidogyne bruxelii",1
"Aspidogyne commelinoides",12
"Aspidogyne fimbrillaris",8
"Aspidogyne foliosa",1
"Aspidogyne kuczynskii",5
"Aspidogyne lindleyana",3
"Aspidogyne longicornu",1
"Aspidosperma australe",59
"Aspidosperma camporum",3
"Aspidosperma cylindrocarpon",3
"Aspidosperma olivaceum",8
"Aspidosperma parvifolium",7
"Aspidosperma pyricollum",5
"Aspidosperma ramiflorum",18
"Aspidosperma tomentosum",25
"Aspilia montevidensis",52
"Aspilia reflexa",2
"Asplenium abscissum",26
"Asplenium alatum",12
"Asplenium auriculatum",9
"Asplenium brasiliense",119
"Asplenium cirrhatum",4
"Asplenium claussenii",181
"Asplenium feei",23
"Asplenium formosum",5
"Asplenium gastonis",191
"Asplenium harpeodes",188
"Asplenium inaequilaterale",90
"Asplenium incurvatum",99
"Asplenium kunzeanum",166
"Asplenium lacinulatum",8
"Asplenium martianum",34
"Asplenium mucronatum",178
"Asplenium muellerianum",4
"Asplenium oligophyllum",113
"Asplenium pseudonitidum",36
"Asplenium pteropus",82
"Asplenium raddianum",18
"Asplenium radicans",10
"Asplenium sellowianum",2
"Asplenium serra",48
"Asplenium serratum",15
"Asplenium squamosum",8
"Asplenium ulbrichtii",4
"Asplenium uniseriale",57
"Asplundia brachypus",3
"Asplundia polymera",61
"Asterella venosa",4
"Asterostigma reticulatum",7
"Asterostigma tweedianum",4
"Astraea lobata",5
"Astrocaryum aculeatissimum",1
"Ateleia glazioveana",49
"Athenaea picta",19
"Athyrium dombeyi",7
"Attalea dubia",5
"Aulacopilum glaucum",7
"Aulonemia aristulata",6
"Aulonemia lanciflora",2
"Aulonemia radiata",2
"Aureliana fasciculata",70
"Aureliana tomentosa",1
"Aureliana wettsteiniana",84
"Austroblechnum divergens",13
"Austroblechnum lehmannii",11
"Austroblechnum organense",2
"Austroblechnum penna-marina",12
"Austroblechnum squamipes",5
